Order ID,Date,Year,Quarter,Month,Region,State,City,Product Category,Product Subcategory,Product Name,Sales Channel,Customer Segment,Customer Age Group,Units Sold,Unit Price,Discount,Revenue,Cost,Profit,Payment Method,Shipping Type,Order Priority
30001,2024-05-03,2024,Q2,May,Northeast,Pennsylvania,Philadelphia,Electronics,Tablet,Tab Elite,Retail,Consumer,18-25,8,195,0.05,1482.0,1100.48,381.52,Card,Standard,Medium
30002,2024-01-05,2024,Q1,Jan,Midwest,Ohio,Columbus,Electronics,Laptop,UltraBook Pro,Online,Corporate,50+,9,1121,0.15,8575.65,5516.69,3058.96,Cash,Express,Critical
30003,2024-08-28,2024,Q3,Aug,Midwest,Ohio,Columbus,Furniture,Desk,WorkDesk Pro,Online,Corporate,50+,2,221,0.05,419.9,243.6,176.3,Bank Transfer,Standard,Medium
30004,2024-09-16,2024,Q3,Sep,Midwest,Michigan,Detroit,Electronics,Tablet,Tab Elite,Online,Consumer,36-50,4,335,0.15,1139.0,667.36,471.64,Bank Transfer,Express,High
30005,2024-02-03,2024,Q1,Feb,Midwest,Ohio,Columbus,Accessories,Mouse,ClickPro,Distributor,Consumer,36-50,4,338,0.05,1284.4,855.21,429.19,Card,Standard,Critical
30006,2024-02-05,2024,Q1,Feb,Midwest,Michigan,Detroit,Accessories,Headphones,SoundMax,Retail,Consumer,36-50,3,837,0.05,2385.45,1717.4,668.05,Bank Transfer,Express,Medium
30007,2024-03-12,2024,Q1,Mar,Midwest,Ohio,Columbus,Electronics,Tablet,Tab Elite,Distributor,Corporate,36-50,9,210,0.0,1890.0,1124.11,765.89,Bank Transfer,Standard,Medium
30008,2024-12-02,2024,Q4,Dec,Northeast,New York,New York,Accessories,Keyboard,KeyPro,Online,Corporate,50+,9,1120,0.05,9576.0,6322.13,3253.87,Cash,Express,Low
30009,2024-03-30,2024,Q1,Mar,South,Texas,Dallas,Furniture,Chair,ComfortSeat,Distributor,Consumer,36-50,6,1162,0.0,6972.0,4464.78,2507.22,Bank Transfer,Standard,High
30010,2024-09-27,2024,Q3,Sep,West,Washington,Seattle,Accessories,Keyboard,KeyPro,Online,Corporate,36-50,2,703,0.05,1335.7,812.99,522.71,Cash,Same-Day,Low
30011,2024-06-08,2024,Q2,Jun,West,Washington,Seattle,Furniture,Desk,WorkDesk Pro,Distributor,Small Business,26-35,9,324,0.15,2478.6,1855.99,622.61,Bank Transfer,Express,Low
30012,2024-11-04,2024,Q4,Nov,Northeast,New York,New York,Electronics,Tablet,Tab Elite,Online,Consumer,50+,15,874,0.05,12454.5,8560.71,3893.79,Bank Transfer,Express,Medium
30013,2024-05-17,2024,Q2,May,Midwest,Michigan,Detroit,Furniture,Cabinet,StoragePlus,Online,Consumer,18-25,8,43,0.1,309.6,177.46,132.14,Bank Transfer,Same-Day,Low
30014,2024-06-09,2024,Q2,Jun,Midwest,Michigan,Detroit,Electronics,Laptop,UltraBook Pro,Retail,Small Business,50+,5,1095,0.15,4653.75,2829.69,1824.06,Bank Transfer,Same-Day,Critical
30015,2024-08-22,2024,Q3,Aug,West,California,Los Angeles,Accessories,Mouse,ClickPro,Online,Consumer,36-50,9,339,0.15,2593.35,1916.86,676.49,Digital Wallet,Standard,High
30016,2024-06-19,2024,Q2,Jun,West,Colorado,Denver,Furniture,Cabinet,StoragePlus,Retail,Small Business,36-50,15,1105,0.0,16575.0,12124.36,4450.64,Card,Same-Day,Low
30017,2024-08-27,2024,Q3,Aug,Northeast,New York,New York,Furniture,Cabinet,StoragePlus,Distributor,Consumer,36-50,4,633,0.15,2152.2,1549.66,602.54,Bank Transfer,Standard,Critical
30018,2024-10-27,2024,Q4,Oct,South,Georgia,Atlanta,Accessories,Mouse,ClickPro,Distributor,Corporate,50+,15,1041,0.1,14053.5,7770.58,6282.92,Card,Standard,Low
30019,2024-07-25,2024,Q3,Jul,South,Florida,Miami,Electronics,Phone,Galaxy Max,Retail,Small Business,26-35,9,183,0.1,1482.3,1104.13,378.17,Bank Transfer,Standard,Medium
30020,2024-06-29,2024,Q2,Jun,Northeast,Massachusetts,Boston,Electronics,Laptop,UltraBook Pro,Online,Consumer,26-35,9,68,0.05,581.4,414.46,166.94,Card,Same-Day,Critical
30021,2024-06-16,2024,Q2,Jun,South,Florida,Miami,Electronics,Phone,Galaxy Max,Online,Consumer,50+,13,498,0.0,6474.0,4420.83,2053.17,Digital Wallet,Same-Day,Critical
30022,2024-09-25,2024,Q3,Sep,West,California,Los Angeles,Furniture,Cabinet,StoragePlus,Distributor,Corporate,36-50,7,639,0.1,4025.7,2906.53,1119.17,Cash,Same-Day,Low
30023,2024-06-11,2024,Q2,Jun,Midwest,Michigan,Detroit,Electronics,Phone,Galaxy Max,Distributor,Consumer,50+,6,908,0.0,5448.0,3669.78,1778.22,Digital Wallet,Standard,Critical
30024,2024-06-25,2024,Q2,Jun,South,Florida,Miami,Accessories,Keyboard,KeyPro,Distributor,Small Business,50+,13,632,0.1,7394.4,4115.43,3278.97,Digital Wallet,Standard,Medium
30025,2024-10-22,2024,Q4,Oct,West,California,Los Angeles,Furniture,Cabinet,StoragePlus,Online,Consumer,36-50,13,659,0.05,8138.65,4860.32,3278.33,Bank Transfer,Same-Day,Critical
30026,2024-12-21,2024,Q4,Dec,Midwest,Michigan,Detroit,Accessories,Mouse,ClickPro,Online,Corporate,18-25,4,276,0.1,993.6,630.09,363.51,Bank Transfer,Same-Day,Medium
30027,2024-05-05,2024,Q2,May,Northeast,Pennsylvania,Philadelphia,Furniture,Desk,WorkDesk Pro,Online,Consumer,26-35,8,666,0.15,4528.8,3003.65,1525.15,Digital Wallet,Same-Day,Low
30028,2024-01-13,2024,Q1,Jan,South,Florida,Miami,Electronics,Tablet,Tab Elite,Online,Corporate,36-50,4,162,0.0,648.0,469.21,178.79,Bank Transfer,Same-Day,Critical
30029,2024-12-30,2024,Q4,Dec,West,Washington,Seattle,Furniture,Desk,WorkDesk Pro,Online,Consumer,26-35,9,743,0.1,6018.3,4176.86,1841.44,Cash,Express,High
30030,2024-02-13,2024,Q1,Feb,Northeast,Massachusetts,Boston,Electronics,Laptop,UltraBook Pro,Distributor,Corporate,36-50,7,413,0.0,2891.0,1722.88,1168.12,Bank Transfer,Same-Day,Medium
30031,2024-07-20,2024,Q3,Jul,Northeast,New York,New York,Furniture,Desk,WorkDesk Pro,Online,Consumer,18-25,3,1131,0.0,3393.0,2377.44,1015.56,Bank Transfer,Express,Critical
30032,2024-03-18,2024,Q1,Mar,Northeast,Massachusetts,Boston,Accessories,Keyboard,KeyPro,Distributor,Small Business,50+,9,1184,0.1,9590.4,6426.26,3164.14,Cash,Same-Day,Medium
30033,2024-10-03,2024,Q4,Oct,Northeast,New York,New York,Furniture,Cabinet,StoragePlus,Retail,Corporate,36-50,10,97,0.15,824.5,478.03,346.47,Card,Express,Medium
