Order ID,Date,Year,Quarter,Month,Region,Country,State,City,Sales Channel,Customer Segment,Category,Subcategory,Product Name,Sales Rep,Units Sold,Unit Price,Discount,Revenue,Cost,Profit,Payment Method
10001,17/08/2024,2024,Q3,Aug,Midwest,USA,Illinois,Chicago,Retail,Small Business,Electronics,Phone,Galaxy Max,Jessica Lee,4,879,0.1,3164.4,2178.41,985.99,Card
10002,30/08/2024,2024,Q3,Aug,Northeast,USA,Massachusetts,Boston,Distributor,Consumer,Electronics,Phone,Galaxy Max,Emily Carter,14,108,0.05,1436.4,898.44,537.96,Digital Wallet
10003,09/02/2024,2024,Q1,Feb,West,USA,Washington,Seattle,Distributor,Corporate,Furniture,Chair,ComfortSeat,John Miller,18,589,0.1,9541.8,6406.07,3135.73,Cash
10004,10/04/2024,2024,Q2,Apr,South,USA,Georgia,Atlanta,Retail,Consumer,Accessories,Keyboard,KeyPro,John Miller,1,182,0.15,154.7,99.05,55.65,Transfer
10005,14/07/2024,2024,Q3,Jul,Northeast,USA,New York,New York,Online,Corporate,Electronics,Tablet,Tab Elite,Sarah Lopez,20,1065,0.15,18105,11707.04,6397.96,Cash
10006,16/06/2024,2024,Q2,Jun,West,USA,California,Los Angeles,Distributor,Consumer,Electronics,Tablet,Tab Elite,Sarah Lopez,1,1160,0.15,986,553.57,432.43,Transfer
10007,27/01/2024,2024,Q1,Jan,Midwest,USA,Illinois,Chicago,Online,Small Business,Accessories,Headphones,SoundMax,John Miller,11,1174,0,12914,8026.32,4887.68,Card
10008,18/02/2024,2024,Q1,Feb,Midwest,USA,Illinois,Chicago,Online,Small Business,Accessories,Headphones,SoundMax,Jessica Lee,2,312,0.1,561.6,322,239.6,Cash
10009,26/01/2024,2024,Q1,Jan,Northeast,USA,Massachusetts,Boston,Online,Consumer,Accessories,Headphones,SoundMax,Michael Brown,2,82,0.15,139.4,77.07,62.33,Cash
10010,23/03/2024,2024,Q1,Mar,Midwest,USA,Ohio,Columbus,Online,Corporate,Accessories,Headphones,SoundMax,Emily Carter,9,71,0.05,607.05,349.11,257.94,Card
10011,25/01/2024,2024,Q1,Jan,Northeast,USA,Massachusetts,Boston,Distributor,Corporate,Electronics,Tablet,Tab Elite,Sarah Lopez,15,1124,0.1,15174,10071.12,5102.88,Cash
10012,28/07/2024,2024,Q3,Jul,West,USA,California,Los Angeles,Distributor,Corporate,Electronics,Laptop,UltraBook Pro,Emily Carter,8,76,0.1,547.2,329.63,217.57,Card
10013,04/08/2024,2024,Q3,Aug,West,USA,California,Los Angeles,Online,Small Business,Electronics,Laptop,UltraBook Pro,Emily Carter,11,272,0,2992,2009.17,982.83,Transfer
10014,21/11/2024,2024,Q4,Nov,West,USA,California,Los Angeles,Distributor,Small Business,Furniture,Chair,ComfortSeat,Emily Carter,18,1097,0,19746,12990.93,6755.07,Digital Wallet
10015,16/11/2024,2024,Q4,Nov,South,USA,Florida,Miami,Distributor,Consumer,Furniture,Desk,WorkDesk Pro,Jessica Lee,4,1060,0,4240,2568.71,1671.29,Cash
10016,26/05/2024,2024,Q2,May,West,USA,California,Los Angeles,Online,Corporate,Electronics,Tablet,Tab Elite,Jessica Lee,17,1129,0.15,16314.05,9292.65,7021.4,Card
10017,24/08/2024,2024,Q3,Aug,Northeast,USA,New York,New York,Retail,Corporate,Furniture,Desk,WorkDesk Pro,John Miller,19,984,0.05,17761.2,12271.58,5489.62,Digital Wallet
10018,19/07/2024,2024,Q3,Jul,West,USA,Colorado,Denver,Retail,Small Business,Furniture,Desk,WorkDesk Pro,Michael Brown,9,270,0.05,2308.5,1431.94,876.56,Transfer
10019,11/04/2024,2024,Q2,Apr,Midwest,USA,Michigan,Detroit,Retail,Consumer,Electronics,Laptop,UltraBook Pro,Jessica Lee,5,175,0.05,831.25,473.36,357.89,Transfer
10020,02/10/2024,2024,Q4,Oct,Northeast,USA,Pennsylvania,Philadelphia,Online,Corporate,Accessories,Headphones,SoundMax,Jessica Lee,16,923,0.1,13291.2,7846.01,5445.19,Cash
10021,06/08/2024,2024,Q3,Aug,South,USA,Florida,Miami,Distributor,Small Business,Electronics,Phone,Galaxy Max,John Miller,12,596,0,7152,4433.06,2718.94,Cash
10022,26/01/2024,2024,Q1,Jan,South,USA,Texas,Dallas,Distributor,Small Business,Accessories,Keyboard,KeyPro,Sarah Lopez,4,696,0.1,2505.6,1841.39,664.21,Digital Wallet
10023,21/03/2024,2024,Q1,Mar,Midwest,USA,Ohio,Columbus,Distributor,Small Business,Furniture,Desk,WorkDesk Pro,Sarah Lopez,15,244,0.05,3477,2385.87,1091.13,Cash
10024,01/11/2024,2024,Q4,Nov,Midwest,USA,Illinois,Chicago,Distributor,Corporate,Accessories,Keyboard,KeyPro,John Miller,16,1115,0,17840,12728.61,5111.39,Card
10025,31/07/2024,2024,Q3,Jul,West,USA,Colorado,Denver,Distributor,Small Business,Electronics,Tablet,Tab Elite,Michael Brown,20,296,0.1,5328,3755.2,1572.8,Transfer
10026,01/10/2024,2024,Q4,Oct,Midwest,USA,Michigan,Detroit,Retail,Small Business,Accessories,Keyboard,KeyPro,Emily Carter,19,868,0.1,14842.8,9730.16,5112.64,Digital Wallet
10027,26/09/2024,2024,Q3,Sep,South,USA,Georgia,Atlanta,Distributor,Consumer,Furniture,Chair,ComfortSeat,Sarah Lopez,3,59,0.05,168.15,106.53,61.62,Digital Wallet
10028,26/08/2024,2024,Q3,Aug,Midwest,USA,Michigan,Detroit,Distributor,Corporate,Electronics,Phone,Galaxy Max,John Miller,4,1016,0.1,3657.6,2440.72,1216.88,Transfer
10029,16/07/2024,2024,Q3,Jul,Midwest,USA,Ohio,Columbus,Online,Consumer,Furniture,Desk,WorkDesk Pro,Sarah Lopez,15,697,0.1,9409.5,6121.69,3287.81,Transfer
10030,01/01/2024,2024,Q1,Jan,West,USA,Colorado,Denver,Online,Consumer,Furniture,Chair,ComfortSeat,Jessica Lee,8,801,0.05,6087.6,4113.9,1973.7,Transfer
10031,13/09/2024,2024,Q3,Sep,South,USA,Florida,Miami,Retail,Corporate,Electronics,Laptop,UltraBook Pro,David Clark,1,862,0.1,775.8,430.81,344.99,Card
10032,08/03/2024,2024,Q1,Mar,Northeast,USA,Massachusetts,Boston,Distributor,Small Business,Accessories,Headphones,SoundMax,Michael Brown,10,1096,0.1,9864,5664.24,4199.76,Digital Wallet
10033,12/12/2024,2024,Q4,Dec,Midwest,USA,Ohio,Columbus,Distributor,Small Business,Furniture,Chair,ComfortSeat,John Miller,11,496,0.05,5183.2,3056.59,2126.61,Cash
10034,28/10/2024,2024,Q4,Oct,Northeast,USA,New York,New York,Retail,Corporate,Accessories,Keyboard,KeyPro,David Clark,13,195,0.1,2281.5,1374.3,907.2,Cash
10035,25/04/2024,2024,Q2,Apr,South,USA,Florida,Miami,Online,Corporate,Electronics,Phone,Galaxy Max,Sarah Lopez,19,371,0.1,6344.1,3766.4,2577.7,Digital Wallet
10036,02/08/2024,2024,Q3,Aug,Northeast,USA,New York,New York,Distributor,Corporate,Electronics,Phone,Galaxy Max,Michael Brown,6,309,0,1854,1130.85,723.15,Cash
10037,27/07/2024,2024,Q3,Jul,Midwest,USA,Ohio,Columbus,Retail,Small Business,Accessories,Keyboard,KeyPro,John Miller,10,208,0.1,1872,1150.57,721.43,Transfer
10038,29/10/2024,2024,Q4,Oct,South,USA,Florida,Miami,Retail,Corporate,Furniture,Chair,ComfortSeat,Michael Brown,20,613,0.1,11034,6480.65,4553.35,Transfer
10039,21/12/2024,2024,Q4,Dec,West,USA,Washington,Seattle,Distributor,Small Business,Furniture,Chair,ComfortSeat,Jessica Lee,13,185,0.05,2284.75,1647.21,637.54,Card
10040,09/05/2024,2024,Q2,May,South,USA,Texas,Dallas,Retail,Consumer,Accessories,Headphones,SoundMax,John Miller,15,544,0.15,6936,4408.75,2527.25,Card
10041,30/12/2024,2024,Q4,Dec,Midwest,USA,Ohio,Columbus,Retail,Small Business,Accessories,Headphones,SoundMax,John Miller,19,738,0.1,12619.8,8488.2,4131.6,Digital Wallet
